,timeline,AOP,MAP,num_users
0,Wk_19,0.011426049431149537,0.013329728778188894,5098
1,Wk_20,0.00830897477536001,0.009108300738091244,6158
2,Wk_21,0.009366647575410534,0.012210020984541294,6984
3,Wk_22,0.01004627374573792,0.012349661357972415,8212
4,Wk_23,0.010216250596279276,0.01300462028916473,6289
5,Wk_24,0.009719591750841822,0.011742486398223454,6336
6,Wk_25,0.00880738270856485,0.010132665516872861,9897
7,Wk_26,0.01100543886535036,0.011418275750512357,11093
8,Wk_27,0.010097731616718876,0.01091459947824229,9243
9,Wk_28,0.008496406165607255,0.009127326606760718,8023
10,Wk_29,0.010750188211328074,0.011394002035193765,7527
11,Wk_30,0.010967887833559365,0.014074367289117415,8844
12,Wk_31,0.009294667516464817,0.01256070849163583,3138
