,timeline,AOP,MAP,num_users
0,Wk_19,0.031002638522427454,0.04348278456128061,379
1,Wk_20,0.03742514970059881,0.0416125001080091,334
2,Wk_21,0.029455630126771083,0.03210289482660848,447
3,Wk_22,0.025641025641025657,0.028470857281832896,533
4,Wk_23,0.030430711610486903,0.0373064963888934,534
5,Wk_24,0.029671717171717193,0.03577936805525189,396
6,Wk_25,0.022870211549456832,0.029714258487843388,583
7,Wk_26,0.017779993353273522,0.023693580753650537,1003
8,Wk_27,0.025988700564971733,0.032809219447637525,885
9,Wk_28,0.018043684710351383,0.02187940660162883,702
10,Wk_29,0.01985507246376812,0.027822108246021295,575
11,Wk_30,0.01937669376693768,0.023156687861972426,615
12,Wk_31,0.02469135802469135,0.026486510745770013,351
