,timeline,AOP,MAP,num_users
0,Wk_19,0.028144239226033426,0.03853711762682739,379
1,Wk_20,0.021164021164021173,0.026180121319010215,567
2,Wk_21,0.012301587301587306,0.014790535742916706,840
3,Wk_22,0.009427828348504549,0.011391548777764642,769
4,Wk_23,0.010054844606946983,0.010637854342150503,547
5,Wk_24,0.010301353013530133,0.0115397628543385,542
6,Wk_25,0.005783086841107317,0.0059454587042755405,879
7,Wk_26,0.005762411347517729,0.0073503621575430125,940
8,Wk_27,0.008444444444444445,0.008132595799262466,750
9,Wk_28,0.0055383822771767136,0.0060527860856299815,647
10,Wk_29,0.004989212513484359,0.005699568695118856,618
11,Wk_30,0.004310344827586207,0.00363229655614713,696
12,Wk_31,0.0032051282051282055,0.0034944569319569317,260
