,timeline,AOP,MAP,num_users
0,Wk_19,0.0011278932914868568,0.0012631575756820947,5098
1,Wk_20,0.000554833820504493,0.0005886041276996134,6158
2,Wk_21,0.0012528636884306978,0.001492448795212254,6984
3,Wk_22,0.0007204903393408016,0.000656339125956758,8212
4,Wk_23,0.0005830285683998519,0.0008162610285364303,6289
5,Wk_24,0.000894360269360269,0.0009810419877891465,6336
6,Wk_25,0.0005641440167053986,0.0008759635622573885,9897
7,Wk_26,0.0004657591874755851,0.0004308990646095128,11093
8,Wk_27,0.0005229182444372318,0.00043993421278934626,9243
9,Wk_28,0.00110100128796377,0.0008751984509182562,8023
10,Wk_29,0.000929985385943934,0.0010454619262909417,7527
11,Wk_30,0.0015358812000603077,0.001926126084453762,8844
12,Wk_31,0.0007966857871255577,0.0004553831434009892,3138
