,timeline,AOP,MAP,num_users
0,Wk_19,0.011605858506603966,0.01365492833960854,5098
1,Wk_20,0.008187181985493173,0.007533935607173649,6158
2,Wk_21,0.008280832378770581,0.008424321557912605,6984
3,Wk_22,0.009092385127455761,0.00967806376278737,8212
4,Wk_23,0.009619971378597618,0.012012525725953923,6289
5,Wk_24,0.008193918350168401,0.010151695545674352,6336
6,Wk_25,0.00837795965107269,0.009894954345292861,9897
7,Wk_26,0.009044742930977406,0.011117545842147044,11093
8,Wk_27,0.00868224602401816,0.010425920904120681,9243
9,Wk_28,0.007551206946694983,0.008901520397376033,8023
10,Wk_29,0.0074066693237678245,0.008599390518647824,7527
11,Wk_30,0.007594602743856529,0.008222499338651525,8844
12,Wk_31,0.006107924367962608,0.007072021468133643,3138
