,timeline,AOP,MAP,num_users
0,2019-06-15,0.0022968705139247763,0.002449473457763725,2322
1,2019-06-22,0.0028066236317709804,0.0029501281272962436,3563
2,2019-07-15,0.0028594771241830037,0.00353125432271674,2448
3,2019-07-22,0.002623396813058684,0.0026587486192033425,2573
4,2019-08-15,0.0031094527363184033,0.003747841071093232,2546
5,2019-08-22,0.0029747925473618273,0.0036863001958117037,2129
6,2019-09-15,0.003277912949445793,0.003417943873134466,2466
7,2019-09-22,0.0033733923676997715,0.003998675879605673,3162
8,2019-10-15,0.0029740447007930767,0.004051705124163671,2774
9,2019-10-22,0.002594514455151962,0.0032187309128561916,2698
10,2019-11-15,0.0024518598253797366,0.002522030538266633,2787
11,2019-11-22,0.0032587198849334817,0.0032842957364262668,3708
12,2019-12-15,0.0013586956521739132,0.0016696586607653804,2024
13,2019-12-22,0.0025128785023244104,0.0026751663059616316,2653
14,2020-01-15,0.002609461840856715,0.0029453748546875843,2459
15,2020-01-22,0.0027879901960784275,0.003337413879693291,2720
