,timeline,AOP,MAP,num_users
0,2019-06-15,0.0021636148310102844,0.0018596458030900485,14636
1,2019-06-22,0.0021785239701523212,0.0020557249649648447,26088
2,2019-07-15,0.003095848114571042,0.0033659140890861423,20296
3,2019-07-22,0.003908213313922251,0.0038606570579611684,19233
4,2019-08-15,0.002134569072465875,0.0024500049353183666,13703
5,2019-08-22,0.00322971061792863,0.003764308302391672,12256
6,2019-09-15,0.004220015320639113,0.004427217805418718,12184
7,2019-09-22,0.0039421434178326005,0.003914958878423329,14438
8,2019-10-15,0.002356983061681042,0.0017535171966071845,14602
9,2019-10-22,0.002967231444052626,0.004244672041610195,11627
10,2019-11-15,0.003482854699439993,0.004112430707647115,12083
11,2019-11-22,0.003712164477441476,0.0055945002302185895,12257
12,2019-12-15,0.0009059474412171516,0.0009893937897049933,12050
13,2019-12-22,0.002704214845207021,0.0028832436966839442,16086
14,2020-01-15,0.0026695593303791114,0.002564746230505089,10832
15,2020-01-22,0.003621856718429358,0.0033560230714048526,10883
