,timeline,AOP,MAP,num_users
0,Wk_19,0.011605858506603966,0.01365492833960854,5098
1,Wk_20,0.008349572371982292,0.009068656081687899,6158
2,Wk_21,0.00918766704849187,0.011962595256552853,6984
3,Wk_22,0.009894057476863116,0.01213071447256182,8212
4,Wk_23,0.010295754491970165,0.013124876145626662,6289
5,Wk_24,0.009325021043771111,0.01114435924450128,6336
6,Wk_25,0.008740022228958231,0.010182375460995258,9897
7,Wk_26,0.011110610294780327,0.011514022727175229,11093
8,Wk_27,0.010377222402538768,0.01140036807230906,9243
9,Wk_28,0.008610661016245004,0.009271858693053988,8023
10,Wk_29,0.010506620610247533,0.010901237747092684,7527
11,Wk_30,0.01130710085933954,0.014435684636527038,8844
12,Wk_31,0.008869768429997857,0.012055252745979319,3138
